1;arms_factory;2514.00;10.88;1657.00;0.01;0
1;arms_factory;2523.00;10.28;1663.00;5.40;0
1;arms_factory;2520.00;12.80;1656.00;1.43;0
1;arms_factory;2520.00;12.98;1657.00;2.56;0
1;arms_factory;2522.00;10.80;1657.00;3.36;0
1;arms_factory;2521.00;12.12;1658.00;3.00;0
1;industrial_complex;2520.00;12.00;1653.00;5.73;0
1;industrial_complex;2524.00;9.68;1657.00;5.17;0
1;industrial_complex;2515.00;11.25;1661.00;3.96;0
1;industrial_complex;2520.00;12.98;1657.00;4.25;0
1;industrial_complex;2520.00;11.53;1663.00;6.24;0
1;industrial_complex;2519.00;9.88;1648.00;4.85;0
1;air_base;2519.00;10.05;1649.00;0.52;0
1;supply_node;2517.00;9.60;1648.00;3.17;0
1;supply_node;2521.00;12.10;1661.00;2.31;0
1;supply_node;2515.00;10.88;1658.00;4.80;0
1;bunker;2517.00;12.23;1658.00;1.93;0
1;bunker;2516.00;9.73;1653.00;1.99;0
1;bunker;2523.00;10.60;1659.00;6.13;0
1;coastal_bunker;2523.00;9.62;1654.00;0.93;0
1;coastal_bunker;2512.00;9.62;1657.00;-1.33;0
1;coastal_bunker;2513.00;9.50;1648.00;-1.57;0
1;stronghold_network;2519.00;13.38;1658.00;6.11;0
1;dockyard;2525.00;9.55;1657.00;0.93;0
1;anti_air_building;2518.00;9.75;1649.00;5.32;0
1;anti_air_building;2513.00;10.03;1661.00;4.96;0
1;anti_air_building;2518.00;13.00;1658.00;0.62;0
1;synthetic_refinery;2518.00;12.38;1657.00;1.12;0
1;fuel_silo;2517.00;10.32;1654.00;2.88;0
1;radar_station;2518.00;12.38;1657.00;1.35;0
1;nuclear_reactor_spawn;2514.00;9.75;1656.00;3.49;0
1;special_project_facility_spawn;2521.00;10.82;1650.00;4.56;0
1;special_project_facility_spawn;2519.00;12.48;1656.00;0.37;0
1;special_project_facility_spawn;2523.00;10.15;1657.00;0.18;0
1;rocket_site_spawn;2515.00;9.62;1653.00;2.51;0
1;naval_base_spawn;2523.00;9.50;1668.00;-3.14;5555
1;naval_base_spawn;2518.00;9.50;1643.00;-1.57;5579
1;naval_base_spawn;2513.00;9.68;1657.00;-1.33;5579
1;floating_harbor;2523.00;9.50;1650.00;-1.25;3838
1;floating_harbor;2530.60;9.50;1653.80;-2.21;9851
1;floating_harbor;2523.00;9.50;1650.00;-2.10;11804
2;arms_factory;2572.00;11.53;1659.00;2.56;0
2;arms_factory;2561.00;11.23;1665.00;3.36;0
2;arms_factory;2577.00;10.62;1645.00;3.00;0
2;arms_factory;2574.00;11.40;1653.00;5.73;0
2;arms_factory;2571.00;10.88;1657.00;5.17;0
2;arms_factory;2569.00;10.12;1655.00;3.96;0
2;industrial_complex;2569.00;9.68;1646.00;4.25;0
2;industrial_complex;2574.00;9.93;1645.00;6.24;0
2;industrial_complex;2569.00;10.12;1655.00;4.85;0
2;industrial_complex;2576.00;9.55;1641.00;0.52;0
2;industrial_complex;2569.00;10.25;1659.00;5.49;0
2;industrial_complex;2571.00;10.80;1656.00;2.82;0
2;air_base;2575.00;9.70;1642.00;6.11;0
2;supply_node;2558.00;10.23;1662.00;3.27;0
2;supply_node;2568.00;9.73;1650.00;3.69;0
2;supply_node;2561.00;9.50;1653.00;5.18;0
2;supply_node;2575.00;9.75;1643.00;0.76;0
2;supply_node;2571.00;10.98;1658.00;3.72;0
2;supply_node;2575.00;11.12;1650.00;5.38;0
2;supply_node;2569.00;9.68;1646.00;0.14;0
2;supply_node;2565.00;10.15;1658.00;5.11;0
2;bunker;2571.00;10.45;1651.00;5.32;0
2;bunker;2573.00;10.68;1649.00;4.96;0
2;bunker;2566.00;10.05;1658.00;0.62;0
2;bunker;2572.00;11.20;1657.00;1.12;0
2;bunker;2575.00;9.75;1643.00;2.88;0
2;bunker;2559.00;10.98;1664.00;0.65;0
2;bunker;2574.00;10.82;1649.00;3.49;0
2;bunker;2561.00;10.05;1657.00;4.56;0
2;coastal_bunker;2557.00;9.50;1657.00;-0.79;0
2;coastal_bunker;2565.00;9.50;1648.00;-0.79;0
2;coastal_bunker;2573.00;9.50;1642.00;-0.79;0
2;coastal_bunker;2557.00;9.50;1656.00;-2.11;0
2;stronghold_network;2569.00;9.68;1646.00;5.52;0
2;dockyard;2556.00;9.50;1658.00;-0.79;0
2;anti_air_building;2572.00;11.07;1656.00;1.29;0
2;anti_air_building;2559.00;9.88;1660.00;0.10;0
2;anti_air_building;2576.00;11.32;1650.00;4.05;0
2;synthetic_refinery;2575.00;10.82;1648.00;4.93;0
2;fuel_silo;2571.00;10.45;1651.00;1.87;0
2;radar_station;2567.00;9.93;1655.00;5.38;0
2;nuclear_reactor_spawn;2570.00;10.32;1652.00;4.19;0
2;special_project_facility_spawn;2561.00;10.25;1659.00;5.31;0
2;special_project_facility_spawn;2558.00;9.90;1661.00;1.03;0
2;special_project_facility_spawn;2569.00;10.12;1653.00;1.50;0
2;special_project_facility_spawn;2571.00;11.32;1660.00;4.73;0
2;special_project_facility_spawn;2567.00;9.68;1647.00;3.91;0
2;special_project_facility_spawn;2577.00;10.80;1646.00;1.04;0
2;special_project_facility_spawn;2577.00;11.80;1651.00;0.17;0
