1;2353.00;10.43;1850.00;small
1;2386.00;10.10;1864.00;small
2;2340.00;12.12;1867.00;small
2;2365.00;10.88;1911.00;small
3;2319.00;13.28;2000.00;small
3;2334.00;11.82;1959.00;small
4;2268.00;10.10;1880.00;small
4;2288.00;10.00;1910.00;small
5;2460.00;9.60;1865.00;small
5;2455.00;10.03;1830.00;small
6;2522.00;9.70;1884.00;small
6;2507.00;9.93;1861.00;small
7;2496.00;10.48;1833.00;big
7;2541.00;10.95;1792.00;big
8;2557.00;9.88;1851.00;big
8;2594.00;10.15;1895.00;small
8;2618.00;10.00;1848.00;small
9;2778.00;9.50;2066.00;small
9;2720.00;9.50;2008.00;small
10;2590.00;10.70;1999.00;small
10;2613.00;9.70;2053.00;small
11;2529.00;11.70;2155.00;big
11;2514.00;12.65;2071.00;big
12;2852.00;11.28;2328.00;small
12;2926.00;10.00;2307.00;small
13;2801.00;9.57;2104.00;big
13;2791.00;9.88;2152.00;big
14;3320.00;9.78;2100.00;big
14;3268.00;10.50;1974.00;big
14;3400.00;9.80;1990.00;big
16;2370.00;9.70;2076.00;big
16;2410.00;9.50;1923.00;big
17;2909.00;14.60;1131.00;big
18;2346.00;9.50;1811.00;small
18;2422.00;9.50;1856.00;small
19;2468.00;10.18;1768.00;big
19;2429.00;9.75;1796.00;big
20;2470.00;10.05;1711.00;big
20;2408.00;10.00;1700.00;big
21;2516.00;11.88;1736.00;big
21;2594.00;12.55;1756.00;big
22;2638.00;10.32;1797.00;small
22;2595.00;11.68;1814.00;small
22;2682.00;10.60;1791.00;small
23;2558.00;11.40;1681.00;small
23;2606.00;10.10;1621.00;small
24;2682.00;11.50;1666.00;small
24;2626.00;10.75;1711.00;small
25;2768.00;9.75;1638.00;small
25;2704.00;10.15;1605.00;small
26;2786.00;11.38;1762.00;small
26;2771.00;9.70;1704.00;small
26;2734.00;12.98;1671.00;small
27;2653.00;9.80;1750.00;small
27;2718.00;14.88;1746.00;small
28;3011.00;10.30;1521.00;small
28;2964.00;10.57;1527.00;small
28;3048.00;9.70;1461.00;small
29;2674.00;9.50;1532.00;big
29;2592.00;9.50;1542.00;big
30;2801.00;9.50;1673.00;big
30;2892.00;9.50;1682.00;big
31;3499.00;10.80;1246.00;big
31;3443.00;11.82;1254.00;big
32;933.00;9.50;155.00;big
32;925.00;9.50;502.00;big
33;225.00;10.35;2192.00;big
34;1258.00;9.70;1129.00;big
34;1164.00;9.50;1173.00;big
35;1526.00;9.80;448.00;big
35;1493.00;10.30;517.00;big
36;1770.00;14.80;2308.00;big
36;1858.00;14.80;2427.00;big
37;2729.00;10.30;1958.00;big
37;2757.00;10.25;2021.00;big
38;2649.00;9.80;1870.00;big
38;2677.00;10.78;1827.00;big
38;2681.00;10.30;1903.00;big
39;2758.00;10.23;1923.00;big
39;2731.00;10.23;1813.00;big
39;2734.00;9.88;1874.00;big
40;3061.00;10.65;1933.00;big
40;3051.00;9.90;2015.00;big
40;3144.00;9.98;1958.00;big
40;3169.00;10.45;2051.00;big
41;2400.00;11.03;1650.00;big
41;2368.00;14.28;1619.00;big
41;2352.00;13.35;1659.00;big
42;2356.00;9.50;1730.00;small
42;2304.00;9.50;1729.00;small
43;2199.00;9.50;2002.00;big
43;2248.00;9.50;1838.00;big
44;1847.00;9.50;2129.00;big
44;2002.00;9.50;2186.00;big
45;2545.00;9.50;2482.00;big
45;2328.00;9.50;2207.00;big
46;3077.00;9.50;2414.00;big
46;2868.00;9.50;2442.00;big
47;2127.00;9.50;1533.00;big
47;2164.00;9.50;1685.00;big
48;2240.00;9.50;1523.00;big
48;2166.00;9.50;1415.00;big
49;1963.00;9.50;1902.00;big
49;2037.00;9.50;1769.00;big
50;1700.00;9.50;1907.00;big
50;1605.00;9.50;2087.00;big
51;1879.00;9.50;1754.00;big
51;1971.00;9.50;1564.00;big
52;1074.00;9.50;1359.00;big
53;1518.00;9.50;1220.00;big
53;1300.00;9.80;1292.00;big
54;1420.00;9.50;1674.00;big
54;1385.00;9.50;1570.00;big
55;1581.00;9.50;1739.00;big
55;1483.00;9.50;1756.00;big
56;1754.00;9.50;1381.00;big
56;1704.00;9.50;1673.00;big
57;1499.00;9.50;1423.00;big
57;1570.00;9.50;1569.00;big
58;1990.00;9.50;1355.00;big
58;1896.00;9.50;1427.00;big
59;1740.00;9.50;1068.00;big
59;1668.00;9.50;1232.00;big
60;3348.00;9.50;1077.00;big
60;3219.00;9.50;885.00;big
61;1984.00;9.50;1161.00;big
61;2003.00;9.50;956.00;big
62;2350.00;9.50;714.00;big
62;2403.00;9.50;957.00;big
63;1506.00;9.50;341.00;big
63;1472.00;9.50;121.00;big
64;1677.00;9.50;351.00;big
64;1637.00;9.50;108.00;big
64;2012.00;9.50;255.00;small
65;2861.00;9.50;433.00;big
65;2657.00;9.50;426.00;big
66;1849.00;9.50;579.00;big
66;2111.00;9.50;673.00;big
67;2328.00;9.50;326.00;big
67;2390.00;9.50;491.00;big
68;2452.00;9.50;1608.00;big
68;2378.00;9.50;1558.00;big
69;2853.00;10.88;1525.00;big
69;2772.00;9.50;1504.00;big
70;3126.00;9.50;1635.00;small
70;3107.00;9.50;1725.00;small
71;3650.00;9.50;915.00;big
71;3607.00;9.50;625.00;big
72;3809.00;9.50;1049.00;big
72;3936.00;9.50;963.00;big
73;3840.00;9.50;1145.00;big
73;3867.00;9.50;1065.00;big
74;3541.00;9.50;354.00;big
74;3682.00;9.50;352.00;big
75;4047.00;9.50;1297.00;big
75;3988.00;9.50;1165.00;big
76;4107.00;13.48;1351.00;big
76;4207.00;9.50;1438.00;big
77;4112.00;9.50;1533.00;small
77;4086.00;9.50;1596.00;small
78;4313.00;9.50;1167.00;big
78;4197.00;9.50;1258.00;big
79;4293.00;9.50;1592.00;big
79;4359.00;9.50;1743.00;big
80;4128.00;11.12;1136.00;big
80;4120.00;9.50;1037.00;big
81;4497.00;9.50;745.00;big
81;4645.00;9.50;584.00;big
82;4349.00;9.50;850.00;small
82;4341.00;9.50;789.00;small
83;4651.00;9.57;861.00;big
83;4761.00;9.50;688.00;big
84;4523.00;9.50;1093.00;big
84;4337.00;9.50;1035.00;big
84;4697.00;9.57;1071.00;big
84;4533.00;10.53;922.00;big
85;3277.00;9.50;624.00;big
85;3220.00;9.50;369.00;big
86;4574.00;9.50;313.00;big
86;4842.00;9.50;169.00;big
87;4507.00;9.50;1949.00;big
87;4449.00;9.50;1759.00;big
88;5000.00;9.50;2164.00;big
88;21.00;9.50;2102.00;big
89;570.00;9.50;1587.00;small
89;623.00;9.50;1472.00;small
90;4421.00;9.50;1618.00;big
90;4288.00;9.50;1489.00;big
91;4194.00;9.70;987.00;big
91;4273.00;9.50;881.00;big
92;4069.00;9.50;735.00;big
92;4120.00;9.50;806.00;big
93;4108.00;10.80;975.00;big
93;4090.00;10.65;920.00;big
94;4545.00;9.50;1261.00;big
94;4381.00;9.50;1396.00;big
95;4970.00;9.50;1403.00;big
95;10.00;9.50;1372.00;big
96;4903.00;9.50;1860.00;big
96;19.00;9.50;1905.00;big
97;4893.00;9.50;960.00;big
97;71.00;9.50;839.00;big
98;4186.00;9.50;409.00;big
98;4330.00;9.50;262.00;big
99;3902.00;9.50;744.00;big
99;3889.00;9.50;415.00;big
100;2897.00;9.50;1367.00;small
100;3051.00;9.50;1173.00;small
101;3626.00;9.50;1108.00;big
101;3677.00;9.50;1235.00;big
102;3138.00;9.50;1101.00;big
102;3019.00;9.50;875.00;big
103;2941.00;9.50;702.00;small
103;2943.00;9.50;644.00;small
104;3338.00;9.50;1263.00;big
104;3181.00;9.50;1206.00;big
105;267.00;9.50;1200.00;big
105;131.00;9.50;1304.00;big
106;771.00;9.50;1348.00;big
106;977.00;9.50;1169.00;big
107;1223.00;9.50;1049.00;small
107;1151.00;9.50;1094.00;small
108;1237.00;9.50;379.00;big
108;1258.00;9.50;621.00;big
109;1170.00;9.50;986.00;big
109;1229.00;9.50;784.00;big
110;1022.00;9.50;792.00;big
110;1005.00;9.50;989.00;big
111;383.00;9.50;1307.00;big
111;595.00;9.50;1227.00;big
112;403.00;9.50;153.00;big
112;5105.00;9.50;145.00;big
113;595.00;9.50;625.00;big
113;605.00;9.50;417.00;big
114;161.00;9.50;1853.00;big
114;397.00;9.50;1813.00;big
115;321.00;9.50;1571.00;big
115;437.00;9.50;1432.00;big
116;3099.00;15.53;1510.00;big
116;3077.00;15.07;1516.00;big
116;3121.00;16.48;1481.00;big
116;3156.00;16.08;1480.00;big
117;1257.00;10.50;1542.00;small
117;1292.00;10.15;1628.00;small
118;663.00;13.15;1738.00;big
119;998.00;10.30;1496.00;big
120;1045.00;10.23;1623.00;big
120;1007.00;10.90;1729.00;big
121;1264.00;10.62;1702.00;big
121;1370.00;11.00;1740.00;big
122;452.00;9.57;2254.00;big
123;964.00;13.73;1279.00;small
123;975.00;12.65;1334.00;small
124;1410.00;9.75;1117.00;big
